Model1,Model2
100% recycled tungsten in the Taptic Engine,100% recycled tungsten in the Taptic Engine
100% recycled rare earth elements in all magnets,100% recycled rare earth elements in all magnets
100% recycled tin in the solder of multiple printed circuit boards,100% recycled tin in the solder of all Apple-designed printed circuit boards
100% recycled gold in plating of multiple printed circuit boards,100% recycled gold in plating of multiple printed circuit boards
—,100% recycled copper in multiple printed circuit boards
—,100% recycled copper wire in the Taptic Engine
—,100% recycled cobalt in the battery
Energy efficient56,Energy efficient56
Responsible packaging57,Responsible packaging57
Arsenic-free display glass58,Arsenic-free glass58
Mercury-\, BFR-\, and PVC-free58,Mercury-\, BFR-\, and PVC-free58
Apple Trade In59,Apple Trade In59
apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Feature 1,46mm or 42mm
Feature 2,LTPO3 OLED Always-on Retina display
Feature 3,Wide-angle OLED
Feature 4,Up to 2000 nits
Feature 5,Up to 40% brighter when viewed at an angle
Feature 6,ECG app1
Feature 7,High and low
Feature 8,Irregular rhythm
Feature 9,Low cardio fitness
Feature 10,Blood Oxygen app*
Feature 11,Sleep Tracking
Feature 12,Sleep apnea notifications**
Feature 13,Vitals app featuring heart rate, respiratory rate, wrist temperature, blood oxygen and sleep duration3
Feature 14,Temperature sensing4
Feature 15,Cycle Tracking with retrospective ovulation estimates5
Feature 16,Emergency SOS6
Feature 17,International
Feature 18,Fall Detection
Feature 19,50m
Feature 20,Water-resistant8
Feature 21,Swimproof
Feature 22,Depth gauge to 6m
Feature 23,Water temperature sensor
Feature 24,GPS
Feature 25,Cellular and Wi-Fi only options11
Feature 26,S10 SiP
Feature 27,Double tap gesture
Feature 28,Fast on-device Siri
Feature 29,Precision Finding
Feature 30,Up to 18 hours14
Feature 31,Up to 36 hours in
Feature 32,Faster charging
Feature 33,GPS + Cellular
Feature 34,Aluminum available in jet black, rose gold and silver
Feature 35,Titanium available in slate, gold and natural
Feature 36,GPS
Feature 37,Aluminum available in jet black, rose gold and silver
Feature 38,Apple Watch Hermès
Feature 39,Titanium available in silver
Feature 40,46mm by 39mm by 9.7mm (46mm)
Feature 41,42mm by 36mm by 9.7mm (42mm)
Feature 42,LTPO3 OLED Always-on Retina display
Feature 43,Wide-angle OLED
Feature 44,Up to 2000 nits brightness
Feature 45,1 nit minimum brightness
Feature 46,46mm
Feature 47,42mm
Feature 48,Electrical heart sensor
Feature 49,Third-generation optical heart sensor
Feature 50,Blood Oxygen app*
Feature 51,Cycle Tracking with retrospective ovulation estimates5
Feature 52,Nightly wrist temperature tracking4
Feature 53,Sleep Tracking
Feature 54,Sleep apnea notifications**
Feature 55,Vitals app featuring heart rate, respiratory rate, wrist temperature, blood oxygen and sleep duration3
Feature 56,Mindfulness app with state of mind tracking
Feature 57,Training load
Feature 58,L1 GPS, GLONASS, Galileo, QZSS and BeiDou
Feature 59,Compass
Feature 60,Waypoints, Backtrack and Elevation view
Feature 61,Always-on altimeter
Feature 62,Water-resistant
Feature 63,Certified IP6X dust-resistant21
Feature 64,International emergency calling7
Feature 65,Emergency SOS6
Feature 66,High-g accelerometer
Feature 67,High dynamic range gyroscope
Feature 68,Offline maps26
Feature 69,Double tap gesture
Feature 70,On-device Siri
Feature 71,Ambient light sensor
Feature 72,Water temperature sensor
Feature 73,Depth gauge and Depth app
Feature 74,Depth to 6m/20 ft.
Feature 75,Tides app
Feature 76,Oceanic+ app for snorkelling (available on the App Store)27
Feature 77,Speaker
Feature 78,Microphone with Voice Isolation
Feature 79,Noise monitoring
Feature 80,Apple Pay
Feature 81,GymKit
Feature 82,Capacity 64GB
Feature 83,Metal and sapphire crystal back
Feature 84,S10 SiP with 64-bit dual-core processor
Feature 85,W3
Feature 86,Second-generation Ultra Wideband chip28
Feature 87,4-core Neural Engine
Feature 88,LTE and UMTS
Feature 89,Support for Apple Watch For Your Kids (GPS + Cellular models)29
Feature 90,Wi-Fi 4
Feature 91,Bluetooth 5.3
Feature 92,Built-in rechargeable lithium-ion battery
Feature 93,Up to 18 hours14
Feature 94,Up to 36 hours in
Feature 95,Fast charge capable30
Feature 96,Carbon-neutral combinations available32
Feature 97,100% recycled aluminum in the case
Feature 98,95% recycled titanium in the case
Feature 99,100% recycled tungsten in the Taptic Engine
Feature 100,100% recycled rare earth elements in all magnets
Feature 101,100% recycled tin in the solder of all Apple-designed printed circuit boards
Feature 102,100% recycled gold in plating of multiple printed circuit boards
Feature 103,100% recycled copper in multiple printed circuit boards
Feature 104,100% recycled copper wire in the Taptic Engine
Feature 105,100% recycled cobalt in the battery
Feature 106,Energy-efficient33
Feature 107,Responsible packaging34
Feature 108,Arsenic-free glass35
Feature 109,Mercury-, BFR- and PVC-free35
Feature 110,Apple Trade In36

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Feature 1,46mm or 42mm
Feature 2,LTPO3 OLED Always-on Retina display
Feature 3,Wide-angle OLED
Feature 4,Up to 2000 nits
Feature 5,Up to 40% brighter when viewed at an angle
Feature 6,ECG app1
Feature 7,High and low
Feature 8,Irregular rhythm
Feature 9,Low cardio fitness
Feature 10,Blood Oxygen app*
Feature 11,Sleep Tracking
Feature 12,Sleep apnea notifications**
Feature 13,Vitals app featuring heart rate, respiratory rate, wrist temperature, blood oxygen and sleep duration3
Feature 14,Temperature sensing4
Feature 15,Cycle Tracking with retrospective ovulation estimates5
Feature 16,Emergency SOS6
Feature 17,International
Feature 18,Fall Detection
Feature 19,50m
Feature 20,Water-resistant8
Feature 21,Swimproof
Feature 22,Depth gauge to 6m
Feature 23,Water temperature sensor
Feature 24,GPS
Feature 25,Cellular and Wi-Fi only options11
Feature 26,S10 SiP
Feature 27,Double tap gesture
Feature 28,Fast on-device Siri
Feature 29,Precision Finding
Feature 30,Up to 18 hours14
Feature 31,Up to 36 hours in
Feature 32,Faster charging
Feature 33,GPS + Cellular
Feature 34,Aluminum available in jet black, rose gold and silver
Feature 35,Titanium available in slate, gold and natural
Feature 36,GPS
Feature 37,Aluminum available in jet black, rose gold and silver
Feature 38,Apple Watch Hermès
Feature 39,Titanium available in silver
Feature 40,46mm by 39mm by 9.7mm (46mm)
Feature 41,42mm by 36mm by 9.7mm (42mm)
Feature 42,LTPO3 OLED Always-on Retina display
Feature 43,Wide-angle OLED
Feature 44,Up to 2000 nits brightness
Feature 45,1 nit minimum brightness
Feature 46,46mm
Feature 47,42mm
Feature 48,Electrical heart sensor
Feature 49,Third-generation optical heart sensor
Feature 50,Blood Oxygen app*
Feature 51,Cycle Tracking with retrospective ovulation estimates5
Feature 52,Nightly wrist temperature tracking4
Feature 53,Sleep Tracking
Feature 54,Sleep apnea notifications**
Feature 55,Vitals app featuring heart rate, respiratory rate, wrist temperature, blood oxygen and sleep duration3
Feature 56,Mindfulness app with state of mind tracking
Feature 57,Training load
Feature 58,L1 GPS, GLONASS, Galileo, QZSS and BeiDou
Feature 59,Compass
Feature 60,Waypoints, Backtrack and Elevation view
Feature 61,Always-on altimeter
Feature 62,Water-resistant
Feature 63,Certified IP6X dust-resistant21
Feature 64,International emergency calling7
Feature 65,Emergency SOS6
Feature 66,High-g accelerometer
Feature 67,High dynamic range gyroscope
Feature 68,Offline maps26
Feature 69,Double tap gesture
Feature 70,On-device Siri
Feature 71,Ambient light sensor
Feature 72,Water temperature sensor
Feature 73,Depth gauge and Depth app
Feature 74,Depth to 6m/20 ft.
Feature 75,Tides app
Feature 76,Oceanic+ app for snorkelling (available on the App Store)27
Feature 77,Speaker
Feature 78,Microphone with Voice Isolation
Feature 79,Noise monitoring
Feature 80,Apple Pay
Feature 81,GymKit
Feature 82,Capacity 64GB
Feature 83,Metal and sapphire crystal back
Feature 84,S10 SiP with 64-bit dual-core processor
Feature 85,W3
Feature 86,Second-generation Ultra Wideband chip28
Feature 87,4-core Neural Engine
Feature 88,LTE and UMTS
Feature 89,Support for Apple Watch For Your Kids (GPS + Cellular models)29
Feature 90,Wi-Fi 4
Feature 91,Bluetooth 5.3
Feature 92,Built-in rechargeable lithium-ion battery
Feature 93,Up to 18 hours14
Feature 94,Up to 36 hours in
Feature 95,Fast charge capable30
Feature 96,Carbon-neutral combinations available32
Feature 97,100% recycled aluminum in the case
Feature 98,95% recycled titanium in the case
Feature 99,100% recycled tungsten in the Taptic Engine
Feature 100,100% recycled rare earth elements in all magnets
Feature 101,100% recycled tin in the solder of all Apple-designed printed circuit boards
Feature 102,100% recycled gold in plating of multiple printed circuit boards
Feature 103,100% recycled copper in multiple printed circuit boards
Feature 104,100% recycled copper wire in the Taptic Engine
Feature 105,100% recycled cobalt in the battery
Feature 106,Energy-efficient33
Feature 107,Responsible packaging34
Feature 108,Arsenic-free glass35
Feature 109,Mercury-, BFR- and PVC-free35
Feature 110,Apple Trade In36

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display                LTPO3 OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor            S10 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery         Built-in rechargeable lithium-ion battery
Environmental Features31,Not available                                     Carbon-neutral combinations available32

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display                LTPO3 OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor            S10 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery         Built-in rechargeable lithium-ion battery
Environmental Features31,Not available                                     Carbon-neutral combinations available32

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Case Size and Weight,
Display,
Features,
Chip,
Learn more about available carriers,
Power,
Environmental Features31,

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Case Size and Weight,
Display,
Features,
Chip,
Learn more about available carriers,
Power,
Environmental Features31,

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

appple watch series 5
Price Information
GPS + Cellular,From $399
GPS,From $329
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.7mm (44mm)
Display,LTPO OLED Retina display
Features,—
Chip,S8 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,Carbon-neutral combinations available32

apple watch sapple watch series 5
Price Information
GPS + Cellular,From $399
GPS,From $329
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.7mm (44mm)
Display,LTPO OLED Retina display
Features,—
Chip,S8 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,Carbon-neutral combinations available32

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
GPS + Cellular,From $679
GPS,From $549
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,Energy-efficient33

apple watch series 5
Price Information
Price,Not available
Features
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,Energy-efficient33

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features
Summary,
Finishes,GPS + Cellular
Case Size and Weight,44mm by 38mm by 10.74mm (44mm)
Display,LTPO OLED Always-on Retina display
Features,Electrical heart sensor
Chip,S5 SiP with 64-bit dual-core processor
Learn more about available carriers,LTE and UMTS
Power,Built-in rechargeable lithium-ion battery
Environmental Features31,—

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

apple watch series 5
Price Information
Price,Not available
Features

